	Name	AGI ID	TF/Histone	P-value	Corr. p-value	GSE	Genotype	Tissue	Growth cond.	IP	COEX	COEX (Tissue)	COEX (Abiotic)	COEX (Hormone)	COEX (Biotic)	COEX (Light)	Targets	PPI	INDEX
130	H3K4me3	H3K4me3	Histone	2.37e-24	3.87732e-21	GSE28398	-	Aerial tissue of seedling (14 DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27402, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE28398_7.ChIP
1159	EBS	AT4G22140	Protein	2.5099999999999995e-24	4.106359999999999e-21	GSE101428	pEBS::EBSΔC-FLAG ebs (Col-0)	aerial tissue	-	ChIP	0.6959420289855072	0.776344927536232	0.751963768115942	0.5094173913043479	0.4583840579710145	1.223736231884058	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30070, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G38410, AT5G40950, AT5G49330	Not available	AT4G22140.Protein.GSE101428_2.ChIP
382	Pol2	Pol2	Protein	4.440000000000001e-24	7.26384e-21	GSE79354	Col-0	seedling	incubation at 17°C for 15min	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G24147, AT1G30530, AT1G35560, AT1G48100, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G78570, AT2G04790, AT2G17695, AT2G22420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G53830, AT3G55330, AT4G00490, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38350, AT5G38410, AT5G38430, AT5G38820, AT5G40950	Not available	Pol2.Protein.GSE79354_24.ChIP
1134	ATNRPD1B, DMS5, DRD3, NRPD1B, NRPE1	AT2G40030	Protein	1.1199999999999999e-23	1.8323199999999998e-20	GSE39247	NRPE-FLAG (drd1)	floral tissue	-	ChIP	0.563888888888889	0.7696370370370372	0.6555870370370371	0.5440796296296296	0.8746925925925927	0.44105555555555565	AT1G01520, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G22420, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G03770, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G47070, AT4G15430, AT4G27940, AT4G28660, AT5G08640, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G38410, AT5G49330, AT5G58310	AT1G54250, AT2G04630, AT2G27040, AT3G49250, AT2G16390, AT5G04290, AT3G17310, AT5G43990, AT2G36490, AT4G15950	AT2G40030.Protein.GSE39247_1.ChIP
1482	AGO4, OCP11	AT2G27040	Protein	1.28e-23	2.09408e-20	GSE124546	DMS3-ZF fwa/nrpd1 (Col)	inflorescence	-	ChIP	0.7208928571428572	0.8720999999999999	0.928725	0.7993071428571429	1.2353339285714284	0.7118124999999998	AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G65560, AT1G71870, AT1G78570, AT2G04790, AT2G22420, AT2G26695, AT2G30100, AT2G32640, AT2G37040, AT2G39730, AT2G46830, AT2G46940, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G55330, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17890, AT5G24660, AT5G38410, AT5G40950, AT5G49330	AT5G04290, AT5G04290, AT5G04290, AT5G04290, AT2G40030, AT2G40030, AT5G04290, AT5G04290, AT2G40030	AT2G27040.Protein.GSE124546_28.ChIP
1236	H3K4me3	H3K4me3	Histone	2.08e-23	3.40288e-20	GSE73972	Col-0	rosette leaf (28DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE73972_1.ChIP
70	JMJ12, REF6	AT3G48430	TF	3.36e-23	5.49696e-20	GSE106942	REF6-ZnF-GFP elf6-3ref6Cjmj13G (Col-0)	unopened flower (35DAG)	with DSG	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30070, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17780, AT2G22420, AT2G26850, AT2G27402, AT2G32640, AT2G37040, AT2G39280, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G49330	AT4G18960, AT1G69120, AT1G24260, AT1G19350, AT1G19350	AT3G48430.TF.GSE106942_3.ChIP
377	ATHAP5B, HAP5B, NF-YC2	AT1G56170	TF	3.48e-23	5.69328e-20	GSE80568	Col-0	seedling (3DAG)	EtOH (mock to 10 uM abscisic acid, 4hr, dark)	ChIP	1.0531884057971013	0.738695652173913	0.9878869565217393	1.141369565217391	0.7780188405797099	0.9282985507246376	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G22420, AT2G26695, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17890, AT5G38410, AT5G40950, AT5G49330, AT5G58310	AT4G14540, AT3G10800, AT2G38880, AT4G14540, AT5G47640, AT1G09030, AT2G47810, AT5G47670, AT2G13570, AT1G21970, AT3G53340, AT2G38880, AT4G14540, AT1G09030, AT2G47810, AT5G47670, AT2G13570, AT2G37060, AT1G21970, AT3G53340, AT2G27470, AT5G12840, AT1G72830, AT2G34720, AT1G30500, AT2G38880, AT5G47640, AT4G14540, AT1G09030, AT2G47810, AT5G47670, AT2G13570, AT2G37060, AT1G21970, AT3G53340, AT2G38880, AT5G47640, AT4G14540, AT1G09030, AT2G47810, AT5G47670, AT2G13570, AT2G37060, AT3G53340, AT2G46790, AT4G24470, AT4G14713, AT4G14720	AT1G56170.TF.GSE80568_7.ChIP
1072	H3K4me3	H3K4me3	Histone	3.6200000000000005e-23	5.922320000000001e-20	GSE60084	JMJ14-HA jmj14-1 (Col)	seedling (12DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE60084_7.ChIP
264	CCT, CRP, MED12	AT4G00450	Protein	5.06e-23	8.27816e-20	GSE143831	MED12-FLAG med12	seedling (8DAG)	-	ChIP	0.5227272727272727	0.7210844155844156	0.5817246753246752	0.6499831168831168	0.7354688311688312	0.6476298701298702	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G38820, AT5G40950, AT5G49330, AT5G58310	Not available	AT4G00450.Protein.GSE143831_26.ChIP
853	LFY, LFY3	AT5G61850	TF	1.04e-22	1.70144e-19	GSE24568	35S::LFY (Col-0)	seedling	-	ChIP	0.5225531914893616	0.7516893617021275	0.6395234042553191	0.4575978723404255	0.610087234042553	0.7778851063829789	AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G12570, AT1G15980, AT1G19490, AT1G24147, AT1G29720, AT1G35560, AT1G48100, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G78570, AT1G80340, AT2G17780, AT2G22420, AT2G30100, AT2G37040, AT2G39730, AT2G40020, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G03770, AT3G10420, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G48420, AT3G50560, AT3G51750, AT4G00490, AT4G14540, AT4G15430, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G15920, AT5G15948, AT5G17170, AT5G20450, AT5G24660, AT5G38410, AT5G49330	AT3G61250, AT3G61250, AT3G61250, AT5G61850, AT5G61850, AT5G61850, AT5G61850, AT5G61850, AT5G61850, AT2G28290, AT2G46020, AT2G28290, AT2G46020, AT2G28290	AT5G61850.TF.GSE24568_0.ChIP
318	FB, GI	AT1G22770	Protein	1.23e-22	2.0122800000000002e-19	GSE129865	Giox:gi-2 (Col-0)	seedling	ZT8	ChIP	0.7542622950819673	0.5861344262295082	1.9523459016393445	1.0715393442622951	1.1350721311475411	1.5271590163934425	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19490, AT1G24147, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17780, AT2G22420, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G47070, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G24660, AT5G38410, AT5G40950, AT5G49330	AT1G67080, AT1G51950, AT2G23290, AT2G37630, AT2G44950, AT3G16500, AT4G08150, AT4G32570, AT4G37260, AT5G60120	AT1G22770.Protein.GSE129865_0.ChIP
771	H2AZ	H2AZ	Histone	3.35e-22	5.4806e-19	GSE139459	mbd9	seedling	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G37040, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G48420, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15430, AT4G27940, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38820, AT5G58310	Not available	H2AZ.Histone.GSE139459_4.ChIP
496	H2Aub	H2Aub	Histone	3.55e-22	5.8078e-19	GSE122314	een-1 (Ler)	seedling	air	ChIP	NA	NA	NA	NA	NA	NA	AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G80340, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39730, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02670, AT3G03770, AT3G12580, AT3G13510, AT3G18750, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G48420, AT3G51750, AT3G53830, AT3G55330, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G17170, AT5G17870, AT5G24660, AT5G38410, AT5G40950, AT5G49330, AT5G58310	Not available	H2Aub.Histone.GSE122314_14.ChIP
595	H3ac	H3ac	Histone	5.180000000000001e-22	8.474480000000001e-19	GSE124414	WT (to hda191, hda6 and hdc1)	seedling	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G49330	Not available	H3ac.Histone.GSE124414_3.ChIP
1312	H2AZ	H2AZ	Histone	5.72e-22	9.35792e-19	GSE122314	Ler	seedling	ET (4hr)	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G48420, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G17870, AT5G24660, AT5G38820, AT5G40950, AT5G49330	Not available	H2AZ.Histone.GSE122314_35.ChIP
1243	H3	H3	Histone	7.0199999999999995e-22	1.1484719999999999e-18	GSE66585	F1 (LerXCol)	endosperm	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01580, AT1G06000, AT1G10370, AT1G12570, AT1G19150, AT1G24147, AT1G29720, AT1G30530, AT1G32080, AT1G48100, AT1G49630, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G80340, AT2G17780, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G37040, AT2G39280, AT2G39730, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10185, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G48420, AT4G01080, AT4G14540, AT4G15430, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G38350, AT5G38430, AT5G40950, AT5G49330, AT5G58310	Not available	H3.Histone.GSE66585_4.ChIP
1026	ATERF-7, ATERF7, ERF7	AT3G20310	TF	1.51e-21	2.47036e-18	GSE60143	Col	young leaf	-	DAP	0.6041818181818182	0.8840781818181818	0.9838745454545456	0.6385054545454546	0.6715690909090908	0.6382690909090909	AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G80340, AT2G04790, AT2G17695, AT2G26695, AT2G26850, AT2G27420, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G03770, AT3G12580, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G53830, AT3G55330, AT4G01080, AT4G14690, AT4G27940, AT4G28660, AT5G08640, AT5G13170, AT5G13930, AT5G17870, AT5G17890, AT5G24660, AT5G38820, AT5G49330, AT5G58310	AT2G44040, AT3G26090, AT5G01810, AT5G01810, AT5G01810, AT5G01810, AT1G24190, AT1G24190, AT5G17800, AT2G36050, AT2G42280, AT5G06160, AT1G62700, AT5G65210, AT5G05120, AT5G28640	AT3G20310.TF.GSE60143_349.DAP
237	BIM2	AT1G69010	TF	4.03e-21	6.59308e-18	GSE60143	Col	young leaf	-	DAP	0.8375609756097562	0.5876292682926828	0.9479780487804879	0.7967731707317076	0.5822560975609756	0.8390195121951217	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G19150, AT1G19490, AT1G24147, AT1G30530, AT1G35560, AT1G48100, AT1G56510, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G17780, AT2G27402, AT2G27420, AT2G39730, AT2G46830, AT3G02380, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G51750, AT3G53830, AT4G00490, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G38350, AT5G38410, AT5G49330, AT5G58310	AT1G19350, AT1G69010, AT1G69010, AT5G11590, AT5G38860, AT4G17785, AT2G21530, AT3G18960, AT1G56650, AT5G08130, AT5G38860, AT1G69010, AT1G69010, AT5G08130, AT3G18960	AT1G69010.TF.GSE60143_445.DAP
1600	H3ac	H3ac	Histone	4.28e-21	7.00208e-18	GSE124414	hda191	seedling	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3ac.Histone.GSE124414_0.ChIP
