Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,,,
GSE57145_2	AT5G13790	-2.61377672274888	0.000185519887706955	GSM1375960,GSM1375961,GSM1375962 / GSM1375954,GSM1375955,GSM1375956	8-DAC_chr11-1chr17-1 / 8-DAC_Col-0	chr11,chr17	Leaf explants cultured in CIM for 8 days	Leaf explants	Mutation_or_Overexpression,,,,,
GSE5633_7	AT5G13790	-2.63018738224936	0.0022487617171667897	GSM131676,GSM131677,GSM131678 / GSM131661,GSM131662,GSM131663	ATGE_50_ap3-6_shoot_apex_inflorescence_after_bolting / ATGE_29_Col-0_shoot_apex_inflorescence_after_bolting	ap3	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,,
GSE5632_7	AT5G13790	-2.65893523494648	5.38005880902357e-06	GSM131618,GSM131619,GSM131620 / GSM131615,GSM131616,GSM131617	ATGE_54_lfy-12_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	lfy,clv3	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,,,
GSE1051_7	AT5G13790	-2.75841263221285	0.00209112244682005	GSM10483,GSM10484 / GSM10454,GSM10456	lec1-1_Post-Mature_Green_Seed / WT_Post-Mature_Green_Seed	lec1	Post-Mature Green Seed	Seeds	Mutation_or_Overexpression,,,,,,,,
GSE17610_1	AT5G13790	-3.24327974178547	2.73606794808735e-05	GSM439773,GSM439774,GSM439775 / GSM439767,GSM439768,GSM439769	SAM_SE_agl15_agl18_double_mutant / SAM_SE_Col	agl15,agl18	No treatment	10 day shoot apical meristem	Mutation_or_Overexpression,,,,,
GSE5633_4	AT5G13790	-3.2595535478643503	2.23839398811282e-10	GSM131667,GSM131668,GSM131669 / GSM131661,GSM131662,GSM131663	ATGE_47_lfy-12_shoot_apex_inflorescence_after_bolting / ATGE_29_Col-0_shoot_apex_inflorescence_after_bolting	lfy	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,,
GSE20256_4	AT5G13790	-3.2597167886581997	0.0083983873489203	GSM507496,GSM507500 / GSM507497,GSM507501	swn / clf/swn	clf	No treatment	10 or 12 day-old whole plants	Mutation_or_Overexpression,,,,,,,,
GSE1051_6	AT5G13790	-3.37521771541569	0.00696497791805686	GSM10481,GSM10482 / GSM10451,GSM10453	lec1-1_Mature_Green_Seed / WT_Mature_Green_Seed	lec1	Mature Green Seed	Seeds	Mutation_or_Overexpression,,,,,,,,
GSE20256_3	AT5G13790	-3.7474252711609	0.00227293137790919	GSM507495,GSM507499 / GSM507497,GSM507501	clf / clf/swn	swn	No treatment	10 or 12 day-old whole plants	Mutation_or_Overexpression,,,,,,,,
GSE51578_3	AT5G13790	-1.44745897697122	0.0138763985426539	GSM1248700 / GSM1248697	C24xCol_ZT6 / Col_ZT6	Col,C24xCol	ZT6_midday	3 week-old rosette leaves	Ecotype_or_Cultivar,,,,,,,,,
GSE37130_0	AT5G13790	-1.4967727716668702	0.000831912963294912	GSM911867,GSM911868 / GSM911861,GSM911862	C24_24h / Col_24h	Col,C24	4C for 24h	20 day-old leaves	Ecotype_or_Cultivar,,,,,,,
GSE31977_4	AT5G13790	-1.81600837199523	0.000412437461956225	GSM791916,GSM791917,GSM791918 / GSM791907,GSM791908,GSM791909	4-day-old_plants_(Ws-2)_treated_with_100_uM_As / 4-day-old_plants_(Col-0)_treated_with_100_uM_As	Col-0,Ws-2	Treated with 100 uM As	4 day-old seedlings	Ecotype_or_Cultivar,,,,,
